SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
HF4292-200,Dunk Low Next Nature 'Baroque Brown',0,0,0,105,2024,,https://www.goat.com/sneakers/dunk-low-next-nature-cacao-wow-hf4292-200
HF6061-400,Futura Laboratories x Dunk Low SB 'Bleached Aqua',0,0,0,344,2024,,https://www.goat.com/sneakers/futura-laboratories-x-dunk-low-sb-bleached-aqua-hf6061-400
DV0833-101,Dunk Low 'Clear Jade',0,0,0,79,2023,,https://www.goat.com/sneakers/dunk-low-clear-jade-dv0833-101
FQ3545-300,Zoom Kobe 4 Protro 'Girl Dad',0,0,0,219,2024,,https://www.goat.com/sneakers/zoom-kobe-4-protro-bicoastal-fq3545-300
AF1-BLK-24,Cactus Plant Flea Market x Air Force 1 Low Premium 'Black' 2024,0,0,0,470,2024,,https://www.goat.com/sneakers/cactus-plant-flea-market-x-air-force-1-low-premium-black-2024-cpfm-af1-blk-24
HM8249-001,Air DT Max ’96 'Black White' 2024,0,0,0,176,2024,,https://www.goat.com/sneakers/air-diamond-turf-max-96-black-varsity-maize-2024-hm8249-001
FZ3129-200,Dunk Low SB 'Big Money Savings',0,0,0,143,2024,,https://www.goat.com/sneakers/dunk-low-sb-big-money-fz3129-200
HF7723-001,Wmns Air Zoom Vomero 5 'Metallic Gold',0,0,0,220,2024,,https://www.goat.com/sneakers/wmns-air-zoom-vomero-5-metallic-gold-hf7723-001
FN5880-001,Dunk Low Premium SB 'City of Style Pack',0,0,0,114,2024,,https://www.goat.com/sneakers/dunk-low-premium-sb-pastoral-print-fn5880-001
FD5855-002,Air Foamposite One 'Light Orewood Brown',0,0,0,159,2024,,https://www.goat.com/sneakers/air-foamposite-one-team-gold-fd5855-002
DV0833-104,Dunk Low 'Glacier Blue',0,0,0,81,2024,,https://www.goat.com/sneakers/dunk-low-glacier-blue-dv0833-104
469-200-24,Dunk Low SP Retro 'Veneer' 2024,0,0,0,128,2024,,https://www.goat.com/sneakers/dunk-low-sp-retro-veneer-2024-da1469-200-24
FJ9259-100,Air Max 180 'Ultramarine' 2024,0,0,0,163,2024,,https://www.goat.com/sneakers/air-max-180-ultramarine-2024-fj9259-100
FQ3549-007,Kobe 8 Protro 'Venice Beach' 2024,0,0,0,238,2024,,https://www.goat.com/sneakers/kobe-8-protro-venice-beach-2024-fq3549-007
DV0831-109,Dunk Low 'White Light Armory Blue',0,0,0,112,2024,,https://www.goat.com/sneakers/dunk-low-white-light-armory-blue-dv0831-109
DV0831-106,Dunk Low 'Summit White Light Smoke Grey',0,0,0,129,2024,,https://www.goat.com/sneakers/dunk-low-summit-white-light-smoke-grey-dv0831-106
FQ3000-001,Supreme x Darwin Low SB 'Black',0,0,0,165,2024,,https://www.goat.com/sneakers/supreme-x-darwin-low-sb-black-fq3000-001
DH9761-600,Dunk Low TD 'Triple Pink',0,0,0,90,2022,,https://www.goat.com/sneakers/dunk-low-td-triple-pink-dh9761-600
FV6325-100,Kobe 8 Protro 'Mambacita',0,0,0,267,2024,,https://www.goat.com/sneakers/kobe-8-protro-white-metallic-gold-fv6325-100
DD1873-600,Wmns Dunk Low Next Nature 'Aster Pink',0,0,0,110,2024,,https://www.goat.com/sneakers/wmns-dunk-low-next-nature-aster-pink-dd1873-600
FN6247-300,Zoom KD 4 'Weatherman' 2024,0,0,0,136,2024,,https://www.goat.com/sneakers/zoom-kd-4-weatherman-2024-fn6247-300
DD1503-124,Wmns Dunk Low 'Cacao Wow',0,0,0,110,2023,,https://www.goat.com/sneakers/wmns-dunk-low-cacao-wow-dd1503-124
DD1391-100,Dunk Low 'Black White',0,0,0,93,2021,,https://www.goat.com/sneakers/dunk-low-black-white-dd1391-100
DD1391-103,Dunk Low 'Grey Fog',0,0,0,99,2021,,https://www.goat.com/sneakers/dunk-low-grey-fog-dd1391-103
