SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
DV6797-102,Air Zoom Victory Tour 3 'Summit White Green Shock',486.81,221.0,220,781,2024,https://www.nike.com/t/air-zoom-victory-tour-3-boa-golf-shoes-K44Gph/DV6797-102,https://www.goat.com/search?query=DV6797-102
FQ8316-300,Air Pegasus '89 Golf NRG 'Open Championship',319.74,228.0,140,508,2024,https://www.nike.com/t/air-pegasus-89-golf-shoes-nFRZ7Z/FQ8316-300,https://www.goat.com/search?query=FQ8316-300
FQ8316-300,Air Pegasus '89 Golf NRG 'Open Championship',319.74,228.0,140,508,2024,https://www.nike.com/t/air-pegasus-89-golf-shoes-nFRZ7Z/FQ8316-300,https://www.goat.com/search?query=FQ8316-300
FZ8627-001,Air Jordan 3 Retro MCS 'Black Cement',257.98,136.0,190,495,2024,https://www.nike.com/t/jordan-3-retro-mcs-mens-baseball-cleats-1CpQJb/FZ8627-001,https://www.goat.com/search?query=FZ8627-001
FZ8627-001,Air Jordan 3 Retro MCS 'Black Cement',257.98,136.0,190,495,2024,https://www.nike.com/t/jordan-3-retro-mcs-mens-baseball-cleats-1CpQJb/FZ8627-001,https://www.goat.com/search?query=FZ8627-001
CI2955-140,React HyperSet 'Game Royal Gum' Sample,143.74,106.0,135,308,,https://www.nike.com/t/react-hyperset-indoor-court-shoes-dkQgjQ/CI2955-140,https://www.goat.com/search?query=CI2955-140
FJ2576-300,Phantom Luna 2 Elite LV8 AG High 'Vortex Pack',137.56,160.0,85.97,247,,https://www.nike.com/t/phantom-gx-2-academy-lv8-tf-low-top-soccer-shoes-jtz9QQ/FJ2576-300,https://www.goat.com/search?query=FJ2576-300
FV7275-400,LeBron 21 Premium 'Father of Pearl',95.37,42.0,225,354,2024,https://www.nike.com/t/lebron-xxi-premium-basketball-shoes-S58Qhx/FV7275-400,https://www.goat.com/search?query=FV7275-400
FV7275-400,LeBron 21 Premium 'Father of Pearl',95.37,42.0,225,354,2024,https://www.nike.com/t/lebron-xxi-premium-basketball-shoes-S58Qhx/FV7275-400,https://www.goat.com/search?query=FV7275-400
FV5291-100,Air Zoom Victory Tour 3 NRG Wide 'Accept and Embrace Pack',94.99,45.0,210,337,2024,https://www.nike.com/t/air-zoom-victory-tour-3-nrg-golf-shoes-wide-RMx7Xs/FV5291-100,https://www.goat.com/search?query=FV5291-100
FV5291-100,Air Zoom Victory Tour 3 NRG Wide 'Accept and Embrace Pack',94.99,45.0,210,337,2024,https://www.nike.com/t/air-zoom-victory-tour-3-nrg-golf-shoes-wide-RMx7Xs/FV5291-100,https://www.goat.com/search?query=FV5291-100
DR2693-301,Terra Kiger 9 'Bicoastal Red Stardust',94.31,59.0,160,281,2024,https://www.nike.com/t/kiger-9-mens-trail-running-shoes-TjtXhk/DR2693-301,https://www.goat.com/search?query=DR2693-301
FQ4154-700,Zoom Challenge 'Volt Armory Navy',93.58,78.0,120,236,2024,https://www.nike.com/t/zoom-challenge-mens-pickleball-shoes-TsV8q8/FQ4154-700,https://www.goat.com/search?query=FQ4154-700
FQ4154-700,Zoom Challenge 'Volt Armory Navy',93.58,78.0,120,236,2024,https://www.nike.com/t/zoom-challenge-mens-pickleball-shoes-TsV8q8/FQ4154-700,https://www.goat.com/search?query=FQ4154-700
FB1446-900,SFB Jungle 2 8 Inch Leather 'Coyote',93.56,72.0,129.97,247,2024,https://www.nike.com/t/sfb-jungle-2-8-leather-mens-shoes-CF9ZML/FB1446-900,https://www.goat.com/search?query=FB1446-900
DA5455-400,Vapor Edge Speed 360 2 'Hyper Royal',92.72,84.0,110,224,2024,https://www.nike.com/t/vapor-edge-speed-360-2-mens-football-cleats-L6mHGl/DA5455-400,https://www.goat.com/search?query=DA5455-400
CZ5915-161,Force Zoom Trout 8 Pro 'Playoff Pack',92.46,123.0,74.97,185,2022,https://www.nike.com/t/force-zoom-trout-8-pro-mens-baseball-cleats-sCDfSg/CZ5915-161,https://www.goat.com/search?query=CZ5915-161
FN0324-100,Precision 7 EasyOn 'USA',91.95,115.0,80,190,2024,https://www.nike.com/t/precision-7-easyon-mens-basketball-shoes-6jgrl7/FN0324-100,https://www.goat.com/search?query=FN0324-100
FN0324-100,Precision 7 EasyOn 'USA',91.95,115.0,80,190,2024,https://www.nike.com/t/precision-7-easyon-mens-basketball-shoes-6jgrl7/FN0324-100,https://www.goat.com/search?query=FN0324-100
FN4475-800,College Offcourt Slide 'Texas Longhorns 2024',91.22,228.0,40,145,,https://www.nike.com/t/offcourt-texas-slides-bBZdrR/FN4475-800,https://www.goat.com/search?query=FN4475-800
FN4482-400,College Offcourt Slide 'UNC',91.22,228.0,40,145,,https://www.nike.com/t/offcourt-unc-slides-vpjRcw/FN4482-400,https://www.goat.com/search?query=FN4482-400
FN4482-400,College Offcourt Slide 'UNC',91.22,228.0,40,145,,https://www.nike.com/t/offcourt-unc-slides-vpjRcw/FN4482-400,https://www.goat.com/search?query=FN4482-400
FN4132-400,College Offcourt Slide 'Duke',91.22,228.0,40,145,,https://www.nike.com/t/offcourt-duke-slides-rG99bN/FN4132-400,https://www.goat.com/search?query=FN4132-400
FN4132-400,College Offcourt Slide 'Duke',91.22,228.0,40,145,,https://www.nike.com/t/offcourt-duke-slides-rG99bN/FN4132-400,https://www.goat.com/search?query=FN4132-400
DD0514-002,NFL x Offcourt Slide 'Arizona Cardinals',91.22,228.0,40,145,2023,https://www.nike.com/t/offcourt-arizona-cardinals-slide-MmWZ1t/DD0514-002,https://www.goat.com/search?query=DD0514-002
DD0557-002,NFL x Offcourt Slide 'Houston Texans',90.8,259.0,35,139,2023,https://www.nike.com/t/offcourt-houston-texans-slide-3zL1BJ/DD0557-002,https://www.goat.com/search?query=DD0557-002
DD0557-002,NFL x Offcourt Slide 'Houston Texans',90.8,259.0,35,139,2023,https://www.nike.com/t/offcourt-houston-texans-slide-3zL1BJ/DD0557-002,https://www.goat.com/search?query=DD0557-002
DJ6524-105,Alpha Huarache 4 Keystone 'White Hyper Royal Splatter',90.75,202.0,45,150,2024,https://www.nike.com/t/alpha-huarache-4-keystone-mens-baseball-cleats-dGXhG3/DJ6524-105,https://www.goat.com/search?query=DJ6524-105
DZ2615-006,Metcon 9 EasyOn 'Cement Grey Concord',90.73,60.0,150,266,2024,https://www.nike.com/t/metcon-9-easyon-mens-workout-shoes-0nCc2n/DZ2615-006,https://www.goat.com/search?query=DZ2615-006
FQ3875-001,Alpha Menace 4 Shark Wide 'Black White',90.71,165.0,55,161,2024,https://www.nike.com/t/alpha-menace-4-shark-football-cleats-wide-kJLfCJ/FQ3875-001,https://www.goat.com/search?query=FQ3875-001
FN4137-800,College Offcourt Slide 'Florida 2024',90.32,226.0,40,144,,https://www.nike.com/t/offcourt-florida-slides-PWWKqs/FN4137-800,https://www.goat.com/search?query=FN4137-800
FN4465-001,NFL x Offcourt Slide 'New Orleans Saints',90.32,226.0,40,144,2024,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://www.goat.com/search?query=FN4465-001
FN4465-001,NFL x Offcourt Slide 'New Orleans Saints',90.32,226.0,40,144,2024,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://www.goat.com/search?query=FN4465-001
DD0526-002,NFL x Offcourt Slide 'New York Giants',90.32,226.0,40,144,2023,https://www.nike.com/t/offcourt-new-york-giants-slide-5GQNJH/DD0526-002,https://www.goat.com/search?query=DD0526-002
