SKU,Name,Profit ($),Profit (%),Retail Price ($),Resale Price ($),Year,Nike Link,Goat Link
FN4216-001,Wmns Dunk High 'Satin Goldenrod',-22.28,-20.08,110.97,98,2023,https://www.nike.com/t/dunk-high-womens-shoes-P0t1rV/FN4216-001,https://www.goat.com/search?query=FN4216-001
DJ4471-121,Inflict SE 'Rawdacious',2265.15,1969.7,115,2630,2024,https://www.nike.com/t/iict-se-wrestling-shoes-7RR1vp/DJ4471-121,https://www.goat.com/search?query=DJ4471-121
DV3278-600,NikeCourt Zoom Pro 'Cedar Team Red',2159.62,2602.89,82.97,2478,2023,https://www.nike.com/t/nikecourt-zoom-pro-mens-hard-court-tennis-shoes-R4HzXz/DV3278-600,https://www.goat.com/search?query=DV3278-600
FD2744-103,Alpha Huarache Elite 4 Mid 'White Midnight Navy',2142.59,2142.59,100,2478,2023,https://www.nike.com/t/alpha-huarache-elite-4-mid-mens-baseball-cleats-JDPv50/FD2744-103,https://www.goat.com/search?query=FD2744-103
DV2020-001,NikeCourt Air Zoom Vapor Pro 2 Clay 'Black White',2112.59,1625.07,130,2478,2023,https://www.nike.com/t/nikecourt-air-zoom-vapor-pro-2-mens-clay-tennis-shoes-V8hFPz/DV2020-001,https://www.goat.com/search?query=DV2020-001
FN6844-100,Air Zoom Infinity Tour NRG 'Endless Pursuit Pack',2052.59,1080.31,190,2478,2024,https://www.nike.com/t/air-zoom-infinity-tour-nrg-golf-shoes-gBPrzk/FN6844-100,https://www.goat.com/search?query=FN6844-100
FN6844-100,Air Zoom Infinity Tour NRG 'Endless Pursuit Pack',2052.59,1080.31,190,2478,2024,https://www.nike.com/t/air-zoom-infinity-tour-nrg-golf-shoes-gBPrzk/FN6844-100,https://www.goat.com/search?query=FN6844-100
FN2642-001,College Offcourt Slide 'Alabama 2024',1942.86,4857.15,40,2191,2024,https://www.nike.com/t/offcourt-alabama-slides-FXVF46/FN2642-001,https://www.goat.com/search?query=FN2642-001
FN4465-001,NFL x Offcourt Slide 'New Orleans Saints',1942.86,4857.15,40,2191,2024,https://www.nike.com/t/offcourt-new-orleans-saints-offcourt-slides-8jbX5C/FN4465-001,https://www.goat.com/search?query=FN4465-001
FD6854-001,Air Zoom Infinity Tour NEXT% Shield Wide 'Iron Grey',1909.09,1480.26,128.97,2252,2023,https://www.nike.com/t/air-zoom-infinity-tour-next-shield-weatherized-golf-shoes-wide-hxpngt/FD6854-001,https://www.goat.com/search?query=FD6854-001
FD6854-001,Air Zoom Infinity Tour NEXT% Shield Wide 'Iron Grey',1909.09,1480.26,128.97,2252,2023,https://www.nike.com/t/air-zoom-infinity-tour-next-shield-weatherized-golf-shoes-wide-hxpngt/FD6854-001,https://www.goat.com/search?query=FD6854-001
DR1020-400,ACG Air Deschutz+ SE 'Thunder Blue',1897.86,2232.78,85,2191,2022,https://www.nike.com/t/acg-air-deschutz-se-shoes-WtcmP1/DR1020-400,https://www.goat.com/search?query=DR1020-400
